year,month,day,week,temp_2,temp_1,average,forecast_noaa,forecast_acc,forecast_under,actual
2016,1,1,Fri,45,45,45.6,43,50,44,45
2016,1,2,Sat,44,45,45.7,41,50,44,44
2016,1,3,Sun,45,44,45.8,43,46,47,41
2016,1,4,Mon,44,41,45.9,44,48,46,40
2016,1,5,Tues,41,40,46,46,46,46,44
2016,1,6,Wed,40,44,46.1,43,49,48,51
2016,1,7,Thurs,44,51,46.2,45,49,46,45
2016,1,8,Fri,51,45,46.3,43,47,46,48
2016,1,9,Sat,45,48,46.4,46,50,45,50
2016,1,10,Sun,48,50,46.5,45,48,48,52
2016,1,11,Mon,50,52,46.7,42,48,48,45
2016,1,12,Tues,52,45,46.8,44,50,45,49
2016,1,13,Wed,45,49,46.9,45,51,46,55
2016,1,14,Thurs,49,55,47,43,47,46,49
2016,1,15,Fri,55,49,47.1,46,51,46,48
2016,1,16,Sat,49,48,47.3,45,52,46,54
2016,1,17,Sun,48,54,47.4,45,51,46,50
2016,1,18,Mon,54,50,47.5,44,48,49,54
2016,1,19,Tues,50,54,47.6,47,49,48,48
2016,1,20,Wed,54,48,47.7,44,52,49,52
2016,1,21,Thurs,48,52,47.8,43,51,46,52
2016,1,22,Fri,52,52,47.9,47,48,48,57
2016,1,23,Sat,52,57,48,45,49,50,48
2016,1,24,Sun,57,48,48.1,46,50,48,51
2016,1,25,Mon,48,51,48.2,45,51,49,54
2016,1,26,Tues,51,54,48.3,44,53,50,56
2016,1,27,Wed,54,56,48.4,45,51,49,57
2016,1,28,Thurs,56,57,48.4,44,52,48,56
2016,1,29,Fri,57,56,48.5,48,52,47,52
2016,1,30,Sat,56,52,48.6,45,51,48,48
2016,1,31,Sun,52,48,48.7,47,52,49,47
2016,2,1,Mon,48,47,48.8,46,49,49,46
2016,2,2,Tues,47,46,48.8,48,50,50,NA
2016,2,3,Wed,46,51,48.9,48,49,50,49
2016,2,4,Thurs,51,49,49,44,54,51,49
2016,2,5,Fri,49,49,49.1,47,50,49,53
2016,2,6,Sat,49,53,49.1,47,53,49,49
2016,2,7,Sun,53,49,49.2,46,51,48,51
2016,2,8,Mon,49,51,49.3,49,52,50,57
2016,2,9,Tues,51,57,49.4,45,52,49,62
2016,2,10,Wed,57,62,49.4,48,50,49,56
2016,2,11,Thurs,62,56,49.5,46,53,50,55
2016,2,12,Fri,56,55,49.6,49,52,48,58
2016,2,15,Mon,55,58,49.9,46,52,49,55
2016,2,16,Tues,58,55,49.9,47,54,51,56
2016,2,17,Wed,55,56,50,45,51,49,57
2016,2,18,Thurs,56,57,50.1,47,55,49,53
2016,2,19,Fri,57,53,50.2,50,52,51,51
2016,2,20,Sat,53,51,50.4,48,55,51,53
2016,2,21,Sun,51,53,50.5,49,54,52,51
2016,2,22,Mon,53,51,50.6,46,51,50,51
2016,2,23,Tues,51,51,50.7,49,53,51,60
2016,2,24,Wed,51,60,50.8,47,53,50,59
2016,2,25,Thurs,60,59,50.9,49,51,49,61
2016,2,26,Fri,59,61,51.1,48,56,53,60
2016,2,27,Sat,61,60,51.2,51,53,53,57
2016,2,28,Sun,60,57,51.3,48,56,53,53
2016,3,1,Tues,53,54,51.5,48,56,50,58
2016,3,2,Wed,54,58,51.6,47,54,52,55
2016,3,3,Thurs,58,55,51.8,49,54,50,59
2016,3,4,Fri,55,59,51.9,47,56,53,57
2016,3,5,Sat,59,57,52.1,49,53,51,64
2016,3,6,Sun,57,64,52.2,52,53,51,60
2016,3,7,Mon,64,60,52.4,49,57,53,53
